Category (survey question),Product (answer option),Flag / Note,"multi-select; Interested; Considering/evaluating; Pilot/implementing; production; recommend,do not recommend"
Enterprise Browser,LayerX browser extension,"Acq. by Akamai (announced 2026-05-14)",
Enterprise Browser,Prisma Access Browser (Palo Alto; former Talon),Palo Alto,
Enterprise Browser,Menlo Security,Independent; acquired Votiro (2025),
Enterprise Browser,Google Chrome Enterprise Premium,Google,
Enterprise Browser,Microsoft Edge for Business,Microsoft,
Enterprise Browser,Seraphic,"Acq. by CrowdStrike (announced 2026-01-13; $420M)",
Enterprise Browser,Other (Please Specify),,
Non-Human Identity / Agent Identity Governance,CyberArk (Palo Alto),"Acq. by Palo Alto (closed 2026-02-11; ~$25B)",
Non-Human Identity / Agent Identity Governance,Astrix (Cisco),"INTENT 2026-05-04 — PENDING, not closed",
Non-Human Identity / Agent Identity Governance,Token Security,Independent,
Non-Human Identity / Agent Identity Governance,Aembit,Independent,
Non-Human Identity / Agent Identity Governance,Oasis Security,Independent ($120M Series B 2026),
Non-Human Identity / Agent Identity Governance,Natoma,"Acq. by Snowflake (intent 2026-05-27 — PENDING)",
Non-Human Identity / Agent Identity Governance,Entro Security,Independent,
Non-Human Identity / Agent Identity Governance,Clutch Security,Independent,
Non-Human Identity / Agent Identity Governance,Other (Please Specify),,
AI Red Teaming / Guardrails,Mindgard,Automated AI red teaming,
AI Red Teaming / Guardrails,SplxAI,"Acq. by Zscaler (announced 2025-11-03)",
AI Red Teaming / Guardrails,Promptfoo,"Acq. by OpenAI (2026-03); stays OSS",
AI Red Teaming / Guardrails,HiddenLayer,Model scanning + red teaming (cross-listed from Runtime),
AI Red Teaming / Guardrails,Lakera,"Acq. by Check Point (announced 2025-09-16)",
AI Red Teaming / Guardrails,Guardrails AI,Independent (OSS),
AI Red Teaming / Guardrails,NeMo Guardrails,NVIDIA OSS project,
AI Red Teaming / Guardrails,Galileo,"Acq. by Cisco (announced 2026-04)",
AI Red Teaming / Guardrails,Patronus,Independent; FinanceBench / SR 11-7 angle,
AI Red Teaming / Guardrails,Pangea,"Acq. by CrowdStrike (closed ~2025-09); now AIDR",
AI Red Teaming / Guardrails,Maxim AI,Independent,
AI Red Teaming / Guardrails,Haize Labs,Independent,
AI Red Teaming / Guardrails,Other (Please Specify),,
Enterprise Chat & RAG,OpenAI ChatGPT Enterprise,"if people are not using enterprise, most layers don't come into play",
Enterprise Chat & RAG,Anthropic Claude Enterprise,Independent (Anthropic),
Enterprise Chat & RAG,Microsoft Copilot,Microsoft,
Enterprise Chat & RAG,Glean,Independent; also entitlement-aware RAG,
Enterprise Chat & RAG,Knostic,Entitlement-aware RAG (oversharing detection),
Enterprise Chat & RAG,Gemini Enterprise / Agentspace,Google,
Enterprise Chat & RAG,Amazon Q Business,AWS,
Enterprise Chat & RAG,Perplexity Enterprise,Independent; weak comms-archival for regulated shops,
Enterprise Chat & RAG,Other (Please Specify),,
SIEM/SOAR/SecOps,Microsoft Sentinel,Microsoft,
SIEM/SOAR/SecOps,Sumo Logic,"Francisco Partners take-private (2023-05)",
SIEM/SOAR/SecOps,ELK / Elastic,Public (ESTC),
SIEM/SOAR/SecOps,Splunk,"Acq. by Cisco (closed 2024-03; $28B)",
SIEM/SOAR/SecOps,Google SecOps (Chronicle),Google (incl. Mandiant),
SIEM/SOAR/SecOps,Palo Alto Cortex XSIAM,Palo Alto,
SIEM/SOAR/SecOps,CrowdStrike Falcon LogScale,CrowdStrike (former Humio),
SIEM/SOAR/SecOps,Torq,Independent (SOAR/hyperautomation),
SIEM/SOAR/SecOps,Other (Please Specify),,
AI SOC analysts,Prophet Security,Independent,
AI SOC analysts,Dropzone AI,Independent,
AI SOC analysts,7AI,Independent ($130M Series A 2025; ex-Cybereason),
AI SOC analysts,Radiant Security,Independent,
AI SOC analysts,Simbian,Independent (seed-stage),
AI SOC analysts,CrowdStrike Charlotte AI,CrowdStrike (built in-house),
AI SOC analysts,Palo Alto Cortex AgentiX,Palo Alto,
AI SOC analysts,Other (Please Specify),,
AI-aware Network Security (SSE/SASE),Palo Alto,Public (PANW),
AI-aware Network Security (SSE/SASE),Zscaler,Public (ZS),
AI-aware Network Security (SSE/SASE),Netskope,Public (NTSK; IPO 2025-09),
AI-aware Network Security (SSE/SASE),Cloudflare,Public (NET),
AI-aware Network Security (SSE/SASE),Cisco (Secure Access),Public (CSCO),
AI-aware Network Security (SSE/SASE),Cato Networks,Independent; acquired Aim Security (2025),
AI-aware Network Security (SSE/SASE),Forcepoint,Francisco Partners (PE),
AI-aware Network Security (SSE/SASE),Other (Please Specify),,
General Identity,Entra,Microsoft,
General Identity,Okta,Public (OKTA),
General Identity,Ping Identity,Thoma Bravo (incl. ForgeRock),
General Identity,Other (Please Specify),,
Identity Governance & Visibility (IGA / ISPM),SailPoint,Public (SAIL; re-IPO 2025; Thoma Bravo majority),
Identity Governance & Visibility (IGA / ISPM),Saviynt,Independent ($700M KKR round 2025),
Identity Governance & Visibility (IGA / ISPM),Veza,"Acq. by ServiceNow (closed 2026-03-02)",
Identity Governance & Visibility (IGA / ISPM),CyberArk (Palo Alto),PAM-first; acq. by Palo Alto (2026),
Identity Governance & Visibility (IGA / ISPM),Linx Security,AI-native IGA + NHI,
Identity Governance & Visibility (IGA / ISPM),Lumos,AI-native IGA,
Identity Governance & Visibility (IGA / ISPM),Hydden,Visibility/discovery layer (seed-stage),
Identity Governance & Visibility (IGA / ISPM),ConductorOne,AI-native IGA,
Identity Governance & Visibility (IGA / ISPM),Other (Please Specify),,
Secrets Manager,Azure Key Vault,Microsoft,
Secrets Manager,HashiCorp Vault,"Acq. by IBM (closed 2025-02-27; $6.4B)",
Secrets Manager,Conjur,CyberArk product (now Palo Alto),
Secrets Manager,AWS Secrets Manager,AWS,
Secrets Manager,GCP Secret Manager,Google,
Secrets Manager,1Password / Doppler / Infisical,"1Password independent (acq. Apono 2026); Doppler & Infisical independent",
Secrets Manager,Other (Please Specify),,
EDR,Microsoft Defender,Microsoft,
EDR,SentinelOne,Public (S),
EDR,Palo Alto Cortex,Palo Alto,
EDR,CrowdStrike,Public (CRWD),
EDR,Other (Please Specify),,
DSPM / Data Security Posture,Microsoft Purview,Microsoft; integrates with partner DSPMs,
DSPM / Data Security Posture,Cyera,Independent ($9B val 2026),
DSPM / Data Security Posture,BigID,Independent,
DSPM / Data Security Posture,Sentra,Independent,
DSPM / Data Security Posture,Concentric AI,Independent,
DSPM / Data Security Posture,Bedrock Security,Independent,
DSPM / Data Security Posture,Securiti,"Acq. by Veeam (closed 2025-12-11; $1.725B)",
DSPM / Data Security Posture,Normalyze,"Acq. by Proofpoint (2024)",
DSPM / Data Security Posture,Symmetry Systems,"Acq. by Zscaler (announced 2026-05-21)",
DSPM / Data Security Posture,Wiz,"Acq. by Google (closed 2026-03-11)",
DSPM / Data Security Posture,Rubrik,Public (RBRK); acquired Laminar,
DSPM / Data Security Posture,OneTrust,Independent; privacy/governance,
DSPM / Data Security Posture,Other (Please Specify),,
Data Access Governance,Varonis,Public (VRNS); acquired Cyral (2025),
Data Access Governance,Veza,"Acq. by ServiceNow (closed 2026-03-02)",
Data Access Governance,Immuta,Independent; data access policy enforcement,
Data Access Governance,Collibra,Independent; data catalog/governance,
Data Access Governance,Cyera,Independent; DSPM extending to access,
Data Access Governance,Sentra,Independent,
Data Access Governance,Netwrix,PE-owned (TA Associates),
Data Access Governance,Other (Please Specify),,
Data Loss Prevention (DLP),Cyberhaven,Lineage-based DLP; also shadow-AI,
Data Loss Prevention (DLP),Nightfall,Content-detection DLP (SaaS/AI),
Data Loss Prevention (DLP),MIND,AI-era data-in-motion DLP,
Data Loss Prevention (DLP),Prompt Security,"Acq. by SentinelOne (closed ~2025); prompt-layer DLP",
Data Loss Prevention (DLP),Lasso Security,DLP/guardrails for LLM + agent traffic,
Data Loss Prevention (DLP),Jazz Security,AI-native DLP (moved here from SIEM after research),
Data Loss Prevention (DLP),Microsoft Purview DLP,Microsoft; classic-channel + endpoint,
Data Loss Prevention (DLP),Netskope DLP,Inline DLP within SSE/SASE,
Data Loss Prevention (DLP),Forcepoint,Francisco Partners (PE); enterprise DLP,
Data Loss Prevention (DLP),Other (Please Specify),,
Software supply chain,Snyk,Independent,
Software supply chain,Semgrep,Independent (former r2c),
Software supply chain,Endor Labs,Independent,
Software supply chain,Socket,Independent; strong on malicious-package defense,
Software supply chain,Apiiro,Independent,
Software supply chain,Legit Security,Independent (verified not acquired),
Software supply chain,Aikido Security,Independent (~$1B val 2026),
Software supply chain,Sonatype,Vista Equity majority (2019),
Software supply chain,JFrog,Public (FROG),
Software supply chain,GitHub Advanced Security,Microsoft/GitHub; now split (Secret Protection + Code Security),
Software supply chain,GitLab Ultimate,Public (GTLB),
Software supply chain,Other (Please Specify),,
Enterprize GRC,Archer,Cinven (PE),
Enterprize GRC,LogicGate,Independent,
Enterprize GRC,AuditBoard,"Acq. by Hg (2024; >$3B)",
Enterprize GRC,OneTrust,Independent,
Enterprize GRC,Onspring,Independent,
Enterprize GRC,Other (Please Specify),,
Vendor Risk,ProcessUnity,Marlin Equity (PE); merged CyberGRX,
Vendor Risk,SecurityScorecard,Independent; acquired HyperComply (2025),
Vendor Risk,BitSight,Independent; Moody's largest shareholder; acquired Cybersixgill (2024),
Vendor Risk,Black Kite,Independent,
Vendor Risk,UpGuard,Independent,
Vendor Risk,Other (Please Specify),,
