Category (survey question),Product (answer option),Flag / Note,"multi-select; Interested; Considering/evaluating; Pilot/implementing; production; recommend,do not recommend"
AI Red Teaming / Guardrails,Galileo (acq. by Cisco),safety/hallucination guardrails,
AI Red Teaming / Guardrails,Patronus,,
AI Red Teaming / Guardrails,Pangea (acq. by CrowdStrike),,
AI Red Teaming / Guardrails,Maxim AI,,
AI Red Teaming / Guardrails,Haize Labs,,
AI Red Teaming / Guardrails,Other (Please Specify),,
Enterprise Chat & RAG,OpenAI ChatGPT Enterprise,"if people are not using enterprise, most of the layers don't come into play",
Enterprise Chat & RAG,Anthropic Claude Enterprise,,
Enterprise Chat & RAG,Microsoft Copilot,,
Enterprise Chat & RAG,Glean,,
Enterprise Chat & RAG,Knostic,Entitlement-aware RAG,
Enterprise Chat & RAG,Gemini Enterprise / Agentspace,,
Enterprise Chat & RAG,Amazon Q Business,,
Enterprise Chat & RAG,Perplexity Enterprise,,
Enterprise Chat & RAG,Other (Please Specify),,
SIEM/SOAR/SecOps,Microsoft Sentinel,,
SIEM/SOAR/SecOps,Sumo Logic,,
SIEM/SOAR/SecOps,ELK / Elastic,,
SIEM/SOAR/SecOps,Splunk,,
SIEM/SOAR/SecOps,Google SecOps (Chronicle),,
SIEM/SOAR/SecOps,Palo Alto Cortex XSIAM,,
SIEM/SOAR/SecOps,CrowdStrike Falcon LogScale,,
SIEM/SOAR/SecOps,Jazz Security,,
SIEM/SOAR/SecOps,Torq,,
SIEM/SOAR/SecOps,Other (Please Specify),,
AI SOC analysts,Prophet Security,,
AI SOC analysts,Dropzone AI,,
AI SOC analysts,7AI,,
AI SOC analysts,Radiant Security,,
AI SOC analysts,Simbian,,
AI SOC analysts,CrowdStrike Charlotte AI,,
AI SOC analysts,Palo Alto Cortex AgentiX,,
AI SOC analysts,Other (Please Specify),,
AI-aware Network Security (SSE/SASE),Palo Alto,,
AI-aware Network Security (SSE/SASE),Zscaler,,
AI-aware Network Security (SSE/SASE),Netskope,,
AI-aware Network Security (SSE/SASE),Cloudflare,,
AI-aware Network Security (SSE/SASE),Cisco (Secure Access),,
AI-aware Network Security (SSE/SASE),Cato Networks,,
AI-aware Network Security (SSE/SASE),Forcepoint,,
AI-aware Network Security (SSE/SASE),Other (Please Specify),,
General Identity,Entra,,
General Identity,Okta,,
General Identity,Ping Identity,,
General Identity,Other (Please Specify),,
Identity Governance & Visibility (IGA / ISPM),SailPoint,,
Identity Governance & Visibility (IGA / ISPM),Saviynt,,
Identity Governance & Visibility (IGA / ISPM),Veza,,
Identity Governance & Visibility (IGA / ISPM),CyberArk (acq. by Palo Alto),PAM-first,
Identity Governance & Visibility (IGA / ISPM),Linx Security,AI-native IGA + NHI,
Identity Governance & Visibility (IGA / ISPM),Lumos,AI-native IGA,
Identity Governance & Visibility (IGA / ISPM),Hydden,"visibility / discovery layer, integrates with IGA like CyberArk (competes with Silverfort, Sharelock, or Andromeda)",
Identity Governance & Visibility (IGA / ISPM),ConductorOne,AI-native IGA,
Identity Governance & Visibility (IGA / ISPM),Other (Please Specify),,
Secrets Manager,Azure Key Vault,,
Secrets Manager,HashiCorp Vault (acq. by IBM),,
Secrets Manager,Conjur (acq. by CyberArk/Palo Alto),,
Secrets Manager,AWS Secrets Manager,,
Secrets Manager,GCP Secret Manager,,
Secrets Manager,1Password / Doppler / Infisical,,
Secrets Manager,Other (Please Specify),,
EDR,Microsoft Defender,,
EDR,SentinelOne,,
EDR,Palo Alto Cortex,,
EDR,CrowdStrike,,
EDR,Other (Please Specify),,
DSPM / Data Governance / DLP,Microsoft Purview,,
DSPM / Data Governance / DLP,Varonis,,
DSPM / Data Governance / DLP,Cyera,,
DSPM / Data Governance / DLP,BigID,,
DSPM / Data Governance / DLP,Sentra,,
DSPM / Data Governance / DLP,Immuta / Collibra,,
DSPM / Data Governance / DLP,Concentric AI,,
DSPM / Data Governance / DLP,Bedrock Security,,
DSPM / Data Governance / DLP,OneTrust,,
DSPM / Data Governance / DLP,Securiti,,
DSPM / Data Governance / DLP,Normalyze,,
DSPM / Data Governance / DLP,MIND,DLP,
DSPM / Data Governance / DLP,Nightfall,DLP,
DSPM / Data Governance / DLP,Other (Please Specify),,
Software supply chain,Snyk,,
Software supply chain,Semgrep,,
Software supply chain,Endor Labs,,
Software supply chain,Socket,,
Software supply chain,Apiiro,,
Software supply chain,Legit Security,,
Software supply chain,Aikido Security,,
Software supply chain,Sonatype,,
Software supply chain,JFrog,,
Software supply chain,GitHub Advanced Security,,
Software supply chain,GitLab Ultimate,,
Enterprize GRC,Archer,,
Enterprize GRC,LogicGate,,
Enterprize GRC,AuditBoard,,
Enterprize GRC,OneTrust,,
Enterprize GRC,Onspring,,
Vendor Risk,ProcessUnity,,
Vendor Risk,SecurityScorecard,,
Vendor Risk,BitSight,,
Vendor Risk,Black Kite,,
Vendor Risk,UpGuard,,
